TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20150101,112,6.7,5746,36,10.4,506,36,16.2,504,-7.1,-5.1,1429,-8.7,759,-14.2,-2.1,-9.6,57.0,46.0,500,2.1,1.9,-9.0,-9.00,1015.9,1025.3,1027.0,2134,1023.2,149,1.9,9.1,9.6,-9.0,8.77,1.53,1200,-9.0,0.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.6,5.3,7.8,13.1,15.8
20150101,137,4.3,3674,27,6.9,1248,29,12.3,1246,-5.5,-2.3,1405,-7.7,745,-17.2,-3.2,-9.2,40.6,26.0,234,1.7,-9.0,-9.0,-9.00,1011.0,1023.4,1025.8,2053,1020.0,5,-9.0,8.6,9.7,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150101,169,12.6,10874,34,18.0,727,34,25.6,720,0.0,2.5,11,-2.0,1151,-3.7,0.8,0.1,76.8,47.0,7,4.7,-9.0,-9.0,-9.00,1015.8,1025.6,1027.5,2027,1022.7,110,7.0,3.3,9.9,-9.0,4.67,1.12,1300,1.5,-9.0,13.95,-9.0,-9,-9.0,-9,-9.0,-9,2.7,940,2.7,940,-99.0,-99.0,-99.0,-99.0,-99.0
20150101,202,3.4,2908,29,5.4,643,32,9.7,356,-6.9,-3.9,1508,-9.1,734,-18.5,-4.3,-11.6,39.5,30.0,138,1.4,-9.0,-9.0,-9.00,1018.0,1024.3,1026.4,2206,1021.8,106,-9.0,8.4,9.6,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150101,243,1.9,1643,34,5.2,1,36,13.1,5,-4.3,-1.3,13,-5.9,534,-7.2,0.2,-4.3,80.0,57.0,13,3.6,-9.0,-9.0,-9.00,1024.3,1025.9,1027.7,2053,1022.8,11,-9.0,1.6,9.8,-9.0,-9.00,-9.00,-9,4.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150101,259,4.5,3864,34,7.7,1624,34,13.3,1528,-2.0,-0.8,2355,-3.4,656,-6.1,-0.8,0.1,73.5,57.0,944,3.9,-9.0,-9.0,-9.00,1023.8,1025.4,1027.2,2214,1022.9,101,-9.0,3.9,9.9,-9.0,16.44,2.28,1100,1.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150101,277,6.4,5544,29,10.2,509,29,19.2,319,-5.1,-1.9,1357,-7.6,738,-21.7,-3.4,-10.4,26.8,17.0,354,1.1,-9.0,-9.0,-9.00,1014.3,1019.7,1023.2,2143,1016.0,41,-9.0,8.2,9.7,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150102,95,1.2,1053,29,4.2,1541,29,7.2,1524,-8.7,-3.0,1441,-13.6,743,-17.7,-6.3,-18.5,50.9,27.0,1313,1.5,1.3,-9.0,-9.00,1005.6,1025.7,1028.3,2158,1023.6,1221,1.5,8.6,9.6,-9.0,-9.00,-9.00,-9,-9.0,-9.0,-9.00,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0
20150102,115,4.0,3490,5,12.1,1701,5,18.4,1630,-2.0,-1.1,2325,-3.2,1,-7.4,0.1,0.0,66.8,52.0,2324,3.5,0.2,-9.0,-9.00,990.1,1018.1,1022.0,2254,1014.7,1348,9.0,0.9,9.6,-9.0,-9.00,-9.00,-9,4.9,4.3,20.75,-9.0,-9,-9.0,-9,-9.0,-9,3.2,2359,35.7,2359,3.1,7.0,10.2,14.3,14.6
20150102,140,1.8,1553,27,7.6,1537,29,11.0,1537,-4.5,-0.8,1550,-7.1,2339,-6.6,-1.4,-10.5,85.9,53.0,1539,3.8,-9.0,-9.0,-9.00,1023.4,1026.4,1028.3,2025,1024.5,704,3.6,5.1,9.8,-9.0,-9.00,-9.00,-9,1.1,-9.0,10.30,-9.0,-9,-9.0,-9,-9.0,-9,1.7,1150,2.6,1150,-99.0,-99.0,-99.0,-99.0,-99.0
