TM,WS_AVG,TA_AVG,TA_MAX,TA_MIN,HM_AVG,SS_DAY,RN_DAY,TA_DIF
20170101,1.5,2.7,6.9,-1.6,75.9,1.7,-9.0,8.5
20170101,1.0,1.2,9.0,-4.1,77.6,5.9,-9.0,13.1
20170101,1.9,6.3,11.0,2.7,63.1,8.7,-9.0,8.3
20170101,0.8,2.0,7.3,-4.3,83.0,1.9,0.0,11.6
20170101,0.5,0.9,9.7,-3.6,87.5,5.7,-9.0,13.299999999999999
20170101,1.1,3.5,11.7,-2.1,81.5,8.6,-9.0,13.799999999999999
20170101,0.9,-0.3,8.0,-6.7,79.6,7.7,-9.0,14.7
20170102,2.5,8.2,10.5,4.7,50.3,7.5,-9.0,5.8
20170102,3.3,5.7,8.7,2.4,82.9,3.0,0.2,6.299999999999999
20170102,1.8,5.4,10.3,-1.1,71.0,2.0,-9.0,11.4
20170102,3.0,8.6,12.7,6.3,96.4,4.3,0.0,6.3999999999999995
20170102,0.6,2.4,6.6,0.1,90.3,0.8,0.3,6.5
20170102,0.9,5.7,10.9,0.9,81.0,0.8,-9.0,10.0
20170102,1.4,7.7,14.3,1.0,80.5,5.9,-9.0,13.3
20170102,3.2,6.9,11.8,3.5,58.1,7.5,-9.0,8.3
20170103,1.0,-0.3,7.8,-6.2,74.9,5.9,-9.0,14.0
20170103,0.6,1.4,6.5,-3.2,71.6,6.7,-9.0,9.7
20170103,2.3,6.6,11.6,2.3,45.8,8.8,-9.0,9.3
20170103,2.1,6.9,11.6,3.8,68.9,8.2,-9.0,7.8
20170103,1.3,2.2,8.8,-2.9,64.1,8.5,-9.0,11.700000000000001
20170103,1.0,1.7,9.1,-3.8,73.9,6.2,-9.0,12.899999999999999
20170103,1.8,5.6,11.6,-0.8,70.1,8.6,-9.0,12.4
20170103,1.0,0.4,10.1,-5.1,67.6,8.3,-9.0,15.2
20170104,0.6,0.8,7.4,-3.7,74.8,7.6,-9.0,11.100000000000001
20170104,4.4,6.0,8.4,3.9,58.8,3.2,0.5,4.5
20170104,0.8,3.3,9.4,-1.3,93.3,3.0,-9.0,10.700000000000001
20170104,0.7,3.0,10.9,-2.8,94.3,3.9,-9.0,13.7
20170104,1.5,2.1,8.8,-2.6,61.4,7.4,-9.0,11.4
20170104,0.5,3.3,10.3,-2.2,82.8,3.3,-9.0,12.5
20170104,0.9,3.2,11.2,-4.3,82.5,6.4,-9.0,15.5
20170104,0.6,3.4,11.2,-2.5,75.4,5.2,-9.0,13.7
20170105,1.3,2.7,9.3,-3.4,60.1,0.4,-9.0,12.700000000000001
20170105,2.0,4.3,8.3,-1.7,65.1,0.0,-9.0,10.0
20170105,2.0,3.4,7.6,-1.6,80.0,0.0,-9.0,9.2
20170105,1.3,5.0,10.7,-2.0,68.1,0.4,-9.0,12.7
20170105,0.8,1.3,7.8,-4.3,71.6,0.3,-9.0,12.1
20170105,2.5,4.4,9.8,-1.7,68.9,0.0,0.1,11.5
20170105,1.1,7.3,11.1,0.2,66.8,0.0,0.0,10.9
20170105,1.2,2.9,7.8,-3.0,83.6,0.0,0.1,10.8
20170106,1.4,2.9,9.7,-2.3,68.4,8.5,-9.0,12.0
20170106,0.5,3.6,10.0,-0.5,73.1,7.5,-9.0,10.5
20170106,1.5,7.9,12.0,4.0,61.9,8.5,0.0,8.0
20170106,5.4,5.5,11.1,3.1,73.4,3.8,0.3,8.0
20170106,0.8,-0.3,5.1,-4.4,84.3,5.6,0.0,9.5
20170106,0.6,2.9,10.5,-2.6,77.4,5.9,-9.0,13.1
20170106,1.2,5.5,11.4,-0.9,76.0,7.8,-9.0,12.3
20170106,1.6,4.2,9.8,-1.2,80.6,3.5,-9.0,11.0
20170107,1.3,-1.4,6.9,-9.5,79.1,9.0,-9.0,16.4
20170107,0.6,2.0,9.8,-4.0,76.9,5.0,-9.0,13.8
20170107,1.4,6.3,10.0,0.2,78.9,3.2,-9.0,9.8
20170107,0.7,3.0,8.9,-3.1,89.4,3.3,-9.0,12.0
20170107,0.7,1.0,9.0,-4.1,75.9,5.3,-9.0,13.1
20170107,0.9,6.0,10.5,-0.4,76.9,0.9,-9.0,10.9
20170107,0.2,2.8,9.2,-4.0,77.8,2.6,0.0,13.2
20170107,0.3,1.7,7.7,-4.6,82.4,1.7,-9.0,12.3
20170108,1.0,5.1,10.9,-0.7,78.4,3.9,0.0,11.6
20170108,2.2,6.6,11.0,4.3,80.9,0.7,0.0,6.7
20170108,1.2,8.2,12.6,5.1,76.5,2.5,2.9,7.5
20170108,3.5,10.9,12.6,9.9,79.3,0.0,17.2,2.6999999999999993
20170108,1.1,5.9,12.2,-0.3,66.4,6.1,0.0,12.5
20170108,2.1,6.9,13.5,4.4,75.6,3.6,0.1,9.1
20170108,3.1,9.7,14.5,7.0,76.4,3.2,4.0,7.5
20170108,0.7,6.7,13.0,3.5,77.4,2.5,0.5,9.5
20170109,4.8,0.9,3.1,-1.3,54.8,9.0,0.0,4.4
20170109,2.8,6.4,11.9,2.9,55.9,8.1,-9.0,9.0
20170109,1.9,5.1,8.7,1.6,65.6,5.6,0.0,7.1
20170109,13.8,7.2,9.4,5.7,70.4,1.8,0.0,3.7
20170109,2.7,2.5,7.0,-4.7,65.5,4.5,0.2,11.7
20170109,3.1,6.8,11.3,2.9,57.8,7.6,-9.0,8.4
20170109,5.1,5.6,7.7,3.5,65.5,3.9,-9.0,4.2
20170109,1.7,5.6,11.1,-1.6,58.5,5.4,-9.0,12.7
20170110,2.7,0.7,4.3,-3.5,35.0,8.9,-9.0,7.8
20170110,2.0,-1.1,2.4,-3.5,54.9,6.9,-9.0,5.9
20170110,3.1,3.5,7.7,0.8,43.9,9.4,-9.0,6.9
20170110,4.7,5.7,7.6,4.2,60.0,7.8,-9.0,3.3999999999999995
20170110,1.7,-1.2,2.5,-4.6,55.8,6.3,0.0,7.1
20170110,2.7,-0.7,3.3,-5.0,64.9,3.6,-9.0,8.3
20170110,2.3,-2.8,2.4,-7.0,50.5,6.0,-9.0,9.4
20170110,4.1,2.0,5.9,-0.7,43.6,7.4,-9.0,6.6000000000000005
20170111,3.1,-1.1,3.7,-4.9,23.0,9.1,-9.0,8.600000000000001
20170111,1.7,-3.1,2.5,-7.8,62.5,6.1,0.0,10.3
20170111,3.1,1.3,5.6,-2.4,41.8,9.2,-9.0,8.0
20170111,1.2,5.5,8.7,3.7,68.3,5.4,-9.0,4.999999999999999
20170111,1.1,-2.5,1.9,-7.1,73.9,6.5,0.6,9.0
20170111,2.8,0.2,4.0,-3.4,35.8,8.4,-9.0,7.4
20170111,5.7,-3.4,0.1,-7.9,38.1,8.5,-9.0,8.0
20170111,2.3,1.2,4.7,-1.2,39.1,7.5,-9.0,5.9
20170112,3.3,3.4,7.7,0.4,29.0,8.2,-9.0,7.3
20170112,4.9,0.0,4.7,-3.5,56.0,5.0,1.6,8.2
20170112,3.9,3.9,7.4,0.7,77.0,2.0,0.0,6.7
20170112,1.4,0.8,8.9,-4.8,55.3,6.9,-9.0,13.7
20170112,1.0,-1.5,4.7,-5.7,82.9,2.7,-9.0,10.4
20170112,2.8,3.6,8.3,-1.9,49.0,7.2,-9.0,10.200000000000001
20170112,4.0,0.1,4.1,-3.2,49.1,3.5,-9.0,7.3
20170112,1.9,4.1,7.2,1.3,56.6,4.2,-9.0,5.9
20170113,2.9,-6.0,-1.4,-8.6,47.4,5.6,0.6,7.199999999999999
20170113,3.0,-3.0,2.2,-6.8,41.1,8.3,0.0,9.0
20170113,5.0,1.2,6.0,-1.4,50.5,6.8,0.0,7.4
20170113,2.4,-5.7,-1.1,-9.4,52.1,5.6,0.2,8.3
20170113,1.8,-4.2,1.2,-9.3,67.6,3.8,0.0,10.5
20170113,2.8,1.2,7.7,-4.3,62.0,5.2,-9.0,12.0
20170113,3.7,-3.2,1.8,-6.5,43.6,5.9,0.0,8.3
20170114,2.9,-6.2,-3.0,-8.4,25.6,8.8,-9.0,5.4
20170114,6.7,-7.1,-5.1,-8.7,37.4,9.4,-9.0,3.5999999999999996
20170114,4.5,-5.5,-2.3,-7.9,31.4,8.4,-9.0,5.6000000000000005
20170114,11.6,0.3,1.9,-0.7,82.8,1.0,0.4,2.5999999999999996
20170114,3.6,-7.1,-3.6,-9.1,32.1,9.0,-9.0,5.5
20170114,2.9,-3.4,-0.9,-6.0,57.9,6.2,0.5,5.1
20170114,4.8,-1.4,0.9,-3.4,65.0,7.3,-9.0,4.3
20170114,6.1,-4.9,-2.1,-7.2,28.4,8.3,-9.0,5.1
20170115,0.7,-9.0,-0.1,-15.8,53.4,9.2,-9.0,15.700000000000001
20170115,0.6,-8.0,-2.4,-13.5,45.5,8.8,-9.0,11.1
20170115,3.4,-2.4,3.9,-8.0,29.0,9.1,-9.0,11.9
20170115,2.8,-0.8,3.3,-4.6,59.3,8.7,-9.0,7.8999999999999995
20170115,0.1,-7.0,0.1,-15.0,40.8,8.9,-9.0,15.1
20170115,1.1,-7.5,0.1,-14.7,63.9,8.1,-9.0,14.799999999999999
20170115,3.1,-2.0,3.4,-7.3,54.5,9.3,0.0,10.7
20170115,1.3,-7.7,2.7,-16.7,45.3,8.6,-9.0,19.4
20170116,0.5,-7.6,2.9,-16.0,53.3,8.7,-9.0,18.9
20170116,7.2,0.9,2.2,-1.4,58.8,1.5,4.0,3.6
20170116,1.1,-2.4,3.1,-8.1,65.4,9.5,-9.0,11.2
20170116,2.1,-2.4,4.1,-7.2,69.3,9.4,-9.0,11.3
20170116,0.7,-7.4,3.8,-14.7,56.4,7.4,-9.0,18.5
20170116,0.8,-3.8,2.7,-8.6,59.8,9.0,-9.0,11.3
20170116,2.1,-1.9,4.3,-8.0,59.3,8.3,-9.0,12.3
20170116,0.7,-2.5,4.8,-9.0,49.0,7.5,-9.0,13.8
20170117,0.9,-3.2,5.1,-10.4,45.9,8.7,-9.0,15.5
20170117,0.7,-2.6,4.4,-9.0,64.1,7.0,-9.0,13.4
20170117,0.9,-1.0,7.1,-7.8,49.4,7.0,-9.0,14.899999999999999
20170117,0.7,-2.1,6.6,-9.0,52.9,5.7,-9.0,15.6
20170117,0.5,-5.6,4.1,-12.9,52.4,8.3,-9.0,17.0
20170117,1.2,-2.4,5.2,-8.8,51.4,4.1,-9.0,14.0
20170117,0.5,-0.9,7.8,-7.2,61.9,7.0,-9.0,15.0
20170117,0.6,-2.7,7.8,-10.3,52.5,6.6,-9.0,18.1
20170118,0.9,-3.9,3.1,-8.7,80.4,3.3,-9.0,11.799999999999999
20170118,0.8,-1.7,4.9,-7.7,66.3,5.5,-9.0,12.600000000000001
20170118,1.4,0.9,6.6,-3.9,60.9,3.8,-9.0,10.5
20170118,3.8,0.3,5.3,-2.1,66.1,5.9,-9.0,7.4
20170118,1.6,-3.3,0.6,-7.8,57.8,6.8,-9.0,8.4
20170118,1.5,-2.2,4.4,-7.0,66.5,5.1,-9.0,11.4
