TM,WS_AVG,TA_AVG,TA_MAX,TA_MIN,HM_AVG,SS_DAY,RN_DAY,TA_DIF
20240101,1.7,3.3,7.3,-0.3,83.4,4.3,0.0,7.6
20240101,0.6,3.2,8.5,-1.4,76.6,4.1,-9.0,9.9
20240101,2.6,6.5,9.9,2.9,64.1,7.0,-9.0,7.0
20240101,0.7,1.2,5.6,-3.1,93.3,-9.0,-9.0,8.7
20240101,0.6,2.7,7.3,-1.0,87.8,2.4,-9.0,8.3
20240101,1.7,7.1,13.2,1.4,62.9,5.5,-9.0,11.799999999999999
20240101,1.0,2.5,7.1,-2.0,83.8,6.0,-9.0,9.1
20240101,1.1,5.2,9.8,0.9,71.8,6.7,-9.0,8.9
20240102,1.6,6.6,10.1,3.5,54.9,6.0,-9.0,6.6
20240102,2.4,4.0,5.5,2.2,70.3,0.3,-9.0,3.3
20240102,1.7,5.4,7.4,3.6,76.6,0.0,-9.0,3.8000000000000003
20240102,0.4,5.6,11.6,0.7,71.4,8.3,0.0,10.9
20240102,0.6,4.3,7.2,2.0,80.4,0.2,-9.0,5.2
20240102,1.5,8.0,11.7,5.1,61.8,7.5,-9.0,6.6
20240102,4.1,3.3,5.3,1.1,73.6,1.4,-9.0,4.199999999999999
20240102,0.9,7.3,10.3,4.4,70.6,6.8,0.1,5.9
20240103,2.1,4.6,9.2,1.0,53.5,5.3,-9.0,8.2
20240103,1.3,1.9,5.9,-1.2,75.3,1.0,0.2,7.1000000000000005
20240103,2.6,5.2,8.9,2.2,63.8,2.7,0.4,6.7
20240103,1.5,9.1,12.3,6.4,53.1,5.9,0.0,5.9
20240103,0.9,2.8,6.4,-0.4,76.0,0.4,0.1,6.800000000000001
20240103,1.6,2.8,5.6,0.8,81.9,1.1,3.0,4.8
20240103,1.5,2.1,5.0,0.1,74.5,2.6,-9.0,4.9
20240103,3.7,3.2,6.8,1.0,70.6,2.4,0.2,5.8
20240104,1.5,3.5,9.0,-0.9,47.5,8.8,-9.0,9.9
20240104,0.8,2.0,6.0,-2.0,68.5,7.7,-9.0,8.0
20240104,3.4,5.2,10.3,1.3,45.5,9.2,-9.0,9.0
20240104,1.9,6.5,13.5,1.5,69.1,8.5,-9.0,12.0
20240104,0.8,0.1,5.2,-5.2,83.3,5.9,-9.0,10.4
20240104,1.6,3.5,10.8,-0.9,48.4,8.1,-9.0,11.700000000000001
20240104,0.9,2.7,9.6,-2.4,84.0,6.6,-9.0,12.0
20240104,0.5,1.6,9.5,-3.6,57.0,7.6,-9.0,13.1
20240105,5.0,3.8,6.7,1.5,64.4,8.0,-9.0,5.2
20240105,3.5,7.4,12.2,3.6,52.5,7.0,-9.0,8.6
20240105,0.7,6.9,12.6,1.4,81.1,5.0,-9.0,11.2
20240105,7.2,11.9,13.8,9.3,61.9,1.0,-9.0,4.5
20240105,0.7,3.2,8.7,-1.6,85.9,0.0,-9.0,10.299999999999999
20240105,1.0,6.4,11.6,1.5,79.8,2.8,-9.0,10.1
20240105,1.7,7.4,14.8,2.0,67.3,5.0,-9.0,12.8
20240105,0.8,3.5,12.3,-4.2,71.1,6.5,-9.0,16.5
20240106,1.2,-0.5,6.4,-5.8,68.1,7.2,-9.0,12.2
20240106,1.5,1.0,5.8,-3.4,73.3,8.8,0.1,9.2
20240106,1.4,5.2,9.8,2.8,44.5,7.0,-9.0,7.000000000000001
20240106,3.5,9.4,11.9,7.5,54.6,7.8,-9.0,4.4
20240106,1.3,-0.9,4.4,-5.4,74.3,8.9,0.4,9.8
20240106,1.3,2.0,6.9,-1.5,77.0,8.3,0.2,8.4
20240106,2.8,4.3,9.5,-1.1,50.3,8.3,-9.0,10.6
20240106,1.3,1.5,8.9,-5.2,62.4,8.9,0.0,14.100000000000001
20240107,5.5,-9.2,-5.9,-15.9,53.8,8.1,-9.0,10.0
20240107,3.0,-3.0,-0.2,-6.8,53.1,7.7,0.0,6.6
20240107,2.9,0.5,3.3,-3.5,34.1,8.8,-9.0,6.8
20240107,2.8,-2.9,-0.1,-6.5,60.6,6.9,0.1,6.4
20240107,2.4,-5.0,-0.7,-10.7,39.8,7.4,-9.0,10.0
20240107,3.1,-3.2,0.3,-7.6,61.1,6.4,0.0,7.8999999999999995
20240107,3.1,1.0,5.7,-4.1,52.9,7.9,-9.0,9.8
20240107,4.2,-0.4,2.9,-4.5,37.4,8.5,-9.0,7.4
20240108,0.7,-6.9,-1.5,-13.9,71.1,8.1,-9.0,12.4
20240108,0.8,-5.3,1.6,-11.6,53.1,8.7,-9.0,13.2
20240108,1.2,-2.4,2.3,-6.8,53.9,9.4,-9.0,9.1
20240108,0.7,-3.7,1.3,-7.9,71.3,9.2,-9.0,9.200000000000001
20240108,1.0,-7.7,0.5,-15.4,40.6,6.9,-9.0,15.9
20240108,1.3,-3.5,3.8,-9.3,59.3,8.6,-9.0,13.100000000000001
20240108,1.2,0.3,6.9,-4.3,55.9,7.8,-9.0,11.2
20240108,1.4,-3.2,3.4,-8.8,44.9,7.3,-9.0,12.200000000000001
20240109,0.3,-2.2,-0.5,-3.8,87.3,0.0,1.6,3.3
20240109,0.9,-0.4,0.5,-2.5,83.1,0.0,3.0,3.0
20240109,1.0,0.2,5.7,-5.6,60.1,1.7,1.3,11.3
20240109,0.6,0.3,5.1,-6.1,78.9,0.0,3.4,11.2
20240109,0.1,-2.6,-1.0,-4.9,82.4,0.0,1.9,3.9000000000000004
20240109,0.9,2.4,7.1,-3.2,77.9,0.0,3.9,10.3
20240109,0.5,2.4,7.7,-4.8,91.1,0.0,1.2,12.5
20240109,0.3,0.0,4.3,-5.7,60.8,0.6,1.9,10.0
20240110,0.6,-3.4,3.8,-7.5,89.4,6.5,-9.0,11.3
20240110,5.1,2.8,4.8,0.5,80.6,1.8,4.7,4.3
20240110,1.5,0.4,4.5,-2.7,82.8,8.3,0.2,7.2
20240110,3.2,0.6,4.4,-4.2,77.6,7.7,0.3,8.600000000000001
20240110,0.6,-1.3,6.2,-5.3,76.9,7.2,-9.0,11.5
20240110,1.1,0.9,4.8,-3.9,82.0,7.9,0.5,8.7
20240110,2.3,2.9,7.7,-3.1,69.4,7.7,-9.0,10.8
20240110,0.5,0.7,5.6,-2.1,93.1,4.6,0.1,7.699999999999999
20240111,1.5,-0.5,3.3,-6.3,76.1,4.9,-9.0,9.6
20240111,0.8,1.2,3.1,-1.6,72.4,0.0,0.0,4.7
20240111,3.6,3.8,7.6,0.7,55.1,9.0,-9.0,6.8999999999999995
20240111,2.5,4.6,8.1,-0.7,67.6,8.2,-9.0,8.799999999999999
20240111,0.9,-0.1,2.6,-2.7,82.6,0.0,-9.0,5.300000000000001
20240111,1.2,2.8,7.0,-3.2,79.0,2.0,-9.0,10.2
20240111,1.4,1.7,8.2,-4.7,77.9,8.1,-9.0,12.899999999999999
20240111,3.6,2.6,5.5,-1.1,58.6,8.5,-9.0,6.6
20240112,2.0,4.2,8.3,1.6,28.9,8.7,-9.0,6.700000000000001
20240112,2.8,1.0,3.3,-0.5,59.8,8.8,-9.0,3.8
20240112,2.3,4.3,8.2,0.0,46.4,8.4,-9.0,8.2
20240112,4.1,7.2,9.8,4.6,68.5,7.9,-9.0,5.200000000000001
20240112,1.0,0.8,5.8,-2.9,65.0,8.2,-9.0,8.7
20240112,1.5,2.4,8.0,-1.8,62.0,7.7,-9.0,9.8
20240112,3.2,6.4,11.7,0.5,59.6,8.3,-9.0,11.2
20240112,3.1,3.4,8.1,-0.8,44.1,8.0,-9.0,8.9
20240112,0.9,2.6,12.0,-3.4,70.9,8.7,-9.0,15.4
20240113,1.4,0.4,6.4,-3.8,44.3,9.1,-9.0,10.2
20240113,1.4,0.5,6.3,-3.9,43.0,9.2,-9.0,10.2
20240113,3.0,5.3,9.9,1.9,39.5,9.1,-9.0,8.0
20240113,1.3,-1.9,4.0,-6.2,61.5,8.5,-9.0,10.2
20240113,0.6,-1.4,6.4,-7.1,67.0,9.2,-9.0,13.5
20240113,1.7,3.2,10.6,-1.9,53.0,7.7,-9.0,12.5
20240113,2.6,0.5,6.0,-4.5,38.9,7.9,-9.0,10.5
20240113,0.8,3.3,9.6,-0.9,52.1,8.2,-9.0,10.5
20240114,2.1,6.6,13.2,-2.0,44.1,8.5,-9.0,15.2
20240114,2.7,1.5,11.6,-7.9,69.4,5.7,6.7,19.5
20240114,4.9,5.5,14.0,0.1,78.6,5.9,0.0,13.9
20240114,0.8,5.3,14.6,-6.0,69.1,8.3,-9.0,20.6
20240114,1.0,1.0,8.8,-5.7,84.6,3.1,2.7,14.5
20240114,1.4,7.6,15.3,-1.2,65.8,7.7,-9.0,16.5
20240114,2.5,-0.4,5.7,-8.2,75.4,5.0,3.5,13.899999999999999
20240114,1.5,7.5,13.3,-0.8,74.8,4.8,-9.0,14.100000000000001
20240115,2.3,2.0,5.5,-1.1,47.1,9.0,-9.0,6.6
20240115,1.8,-2.1,3.7,-6.0,50.4,9.0,-9.0,9.7
20240115,3.0,5.1,10.5,1.4,46.3,9.2,-9.0,9.1
20240115,1.7,9.1,12.1,5.9,50.1,9.4,-9.0,6.199999999999999
20240115,1.7,-1.3,3.2,-3.6,53.8,8.6,-9.0,6.800000000000001
20240115,2.2,-0.6,3.7,-4.1,59.6,8.4,-9.0,7.8
20240115,1.0,-1.8,4.3,-5.6,73.8,8.3,-9.0,9.899999999999999
20240115,3.1,2.4,7.6,-1.5,40.0,7.3,-9.0,9.1
20240116,1.2,1.8,6.4,-3.8,38.3,9.0,-9.0,10.2
20240116,0.9,-1.1,4.2,-5.5,50.9,8.2,-9.0,9.7
20240116,1.9,4.9,11.7,-0.3,44.1,9.5,-9.0,12.0
20240116,2.6,7.6,11.8,2.8,60.9,8.1,-9.0,9.0
20240116,0.6,-3.2,3.6,-9.0,64.5,8.2,-9.0,12.6
20240116,1.4,3.2,10.9,-2.8,46.5,8.3,-9.0,13.7
20240116,2.1,2.4,7.2,-2.1,60.6,5.7,-9.0,9.3
20240116,0.5,1.6,10.4,-5.2,43.0,7.9,-9.0,15.600000000000001
20240117,2.9,1.3,2.6,-0.2,82.6,0.0,9.3,2.8000000000000003
20240117,3.5,7.7,13.1,4.2,44.8,0.5,0.1,8.899999999999999
20240117,0.4,6.4,9.7,3.0,76.4,0.0,0.9,6.699999999999999
20240117,6.6,14.0,16.5,8.2,72.6,3.4,-9.0,8.3
20240117,0.4,0.3,2.6,-4.8,90.6,0.0,10.2,7.4
20240117,1.4,7.1,11.3,-0.2,73.5,0.0,2.4,11.5
