경매시간,품목(품종),규격(전체),경락가,거래량
0,쪽파(깐쪽파),1kg,12200,70
0,쪽파(쪽파(일반)),1kg,3750,60
0,쪽파(쪽파(일반)),1kg,3850,1
10/16 12:56:34,쪽파(쪽파(일반)),1kg,4300,18
10/16 12:53:35,쪽파(깐쪽파),1kg,13720,1
10/16 12:53:20,쪽파(깐쪽파),1kg,12800,1
10/16 12:53:20,쪽파(깐쪽파),1kg,13350,1
10/16 12:50:44,쪽파(쪽파(일반)),1kg,3376,30
10/16 12:50:24,쪽파(깐쪽파),1kg,12030,1
10/16 12:49:57,쪽파(깐쪽파),1kg,9000,1
10/16 12:49:30,쪽파(깐쪽파),1kg,3500,2
10/16 12:49:18,쪽파(쪽파(일반)),1kg,4200,14
10/16 12:49:05,쪽파(깐쪽파),1kg,13720,2
10/16 12:48:54,쪽파(쪽파(일반)),1kg,4600,2
10/16 12:48:48,쪽파(깐쪽파),1kg,9500,1
10/16 12:48:44,쪽파(깐쪽파),1kg,13350,3
10/16 12:48:31,쪽파(깐쪽파),1kg,13350,8
10/16 12:48:22,쪽파(깐쪽파),1kg,12800,5
10/16 12:48:09,쪽파(쪽파(일반)),1kg,3900,10
10/16 12:48:02,쪽파(쪽파(일반)),1kg,3900,10
10/16 12:47:53,쪽파(깐쪽파),1kg,12000,3
10/16 12:47:44,쪽파(쪽파(일반)),1kg,5320,15
10/16 12:47:38,쪽파(쪽파(일반)),1kg,5320,15
10/16 12:47:31,쪽파(쪽파(일반)),1kg,5230,11
10/16 12:47:09,쪽파(깐쪽파),1kg,12030,7
10/16 12:46:59,쪽파(깐쪽파),1kg,8000,3
10/16 12:46:35,쪽파(깐쪽파),1kg,9000,6
10/16 12:46:29,쪽파(깐쪽파),1kg,10300,1
10/16 12:46:23,쪽파(깐쪽파),1kg,9500,10
10/16 12:46:13,쪽파(쪽파(일반)),1kg,3850,5
10/16 12:46:03,쪽파(쪽파(일반)),1kg,2810,9
10/16 12:45:56,쪽파(쪽파(일반)),1kg,2750,9
10/16 12:45:49,쪽파(쪽파(일반)),1kg,2650,9
10/16 12:45:41,쪽파(쪽파(일반)),1kg,2600,8
10/16 12:45:27,쪽파(깐쪽파),1kg,9550,4
10/16 12:45:17,쪽파(쪽파(일반)),1kg,1200,60
10/16 12:44:56,쪽파(깐쪽파),1kg,8000,8
10/16 12:44:40,쪽파(깐쪽파),1kg,10300,1
10/16 12:44:29,쪽파(깐쪽파),1kg,9800,5
