,TM,WS_AVG,TA_AVG,TA_MAX,TA_MIN,HM_AVG,SS_DAY,RN_DAY,TA_DIF
0,20170101,1.5,2.7,6.9,-1.6,75.9,1.7,0.0,8.5
1,20170101,1.0,1.2,9.0,-4.1,77.6,5.9,0.0,13.1
2,20170101,1.9,6.3,11.0,2.7,63.1,8.7,0.0,8.3
3,20170101,0.8,2.0,7.3,-4.3,83.0,1.9,0.0,11.6
4,20170101,0.5,0.9,9.7,-3.6,87.5,5.7,0.0,13.3
5,20170101,1.1,3.5,11.7,-2.1,81.5,8.6,0.0,13.8
6,20170101,0.9,-0.3,8.0,-6.7,79.6,7.7,0.0,14.7
7,20170102,2.5,8.2,10.5,4.7,50.3,7.5,0.0,5.8
8,20170102,3.3,5.7,8.7,2.4,82.9,3.0,0.2,6.299999999999999
9,20170102,1.8,5.4,10.3,-1.1,71.0,2.0,0.0,11.4
10,20170102,3.0,8.6,12.7,6.3,96.4,4.3,0.0,6.4
11,20170102,0.6,2.4,6.6,0.1,90.3,0.8,0.3,6.5
12,20170102,0.9,5.7,10.9,0.9,81.0,0.8,0.0,10.0
13,20170102,1.4,7.7,14.3,1.0,80.5,5.9,0.0,13.3
14,20170102,3.2,6.9,11.8,3.5,58.1,7.5,0.0,8.3
15,20170103,1.0,-0.3,7.8,-6.2,74.9,5.9,0.0,14.0
16,20170103,0.6,1.4,6.5,-3.2,71.6,6.7,0.0,9.7
17,20170103,2.3,6.6,11.6,2.3,45.8,8.8,0.0,9.3
18,20170103,2.1,6.9,11.6,3.8,68.9,8.2,0.0,7.8
19,20170103,1.3,2.2,8.8,-2.9,64.1,8.5,0.0,11.7
20,20170103,1.0,1.7,9.1,-3.8,73.9,6.2,0.0,12.9
21,20170103,1.8,5.6,11.6,-0.8,70.1,8.6,0.0,12.4
22,20170103,1.0,0.4,10.1,-5.1,67.6,8.3,0.0,15.2
23,20170104,0.6,0.8,7.4,-3.7,74.8,7.6,0.0,11.1
24,20170104,4.4,6.0,8.4,3.9,58.8,3.2,0.5,4.5
25,20170104,0.8,3.3,9.4,-1.3,93.3,3.0,0.0,10.7
26,20170104,0.7,3.0,10.9,-2.8,94.3,3.9,0.0,13.7
27,20170104,1.5,2.1,8.8,-2.6,61.4,7.4,0.0,11.4
28,20170104,0.5,3.3,10.3,-2.2,82.8,3.3,0.0,12.5
29,20170104,0.9,3.2,11.2,-4.3,82.5,6.4,0.0,15.5
30,20170104,0.6,3.4,11.2,-2.5,75.4,5.2,0.0,13.7
31,20170105,1.3,2.7,9.3,-3.4,60.1,0.4,0.0,12.7
32,20170105,2.0,4.3,8.3,-1.7,65.1,0.0,0.0,10.0
