,TM,WS_AVG,TA_AVG,TA_MAX,TA_MIN,HM_AVG,SS_DAY,RN_DAY,TA_DIF
0,20180101,1.4,-1.3,3.8,-5.1,39.1,8.3,0.0,8.899999999999999
1,20180101,2.2,-1.0,4.7,-6.5,39.4,9.2,0.0,11.2
2,20180101,4.5,3.3,7.2,-0.2,45.0,8.6,0.0,7.4
3,20180101,1.0,-2.7,3.9,-7.3,56.3,8.2,0.0,11.2
4,20180101,0.7,-2.9,4.2,-8.3,65.9,8.7,0.0,12.5
5,20180101,1.8,1.4,7.7,-3.2,58.4,8.7,0.0,10.9
6,20180101,2.4,-1.9,3.4,-8.7,42.1,7.9,0.0,12.1
7,20180102,2.9,1.5,5.6,-2.1,21.8,8.5,0.0,7.699999999999999
8,20180102,3.5,-1.4,0.8,-4.3,46.3,6.9,0.0,5.1
9,20180102,2.8,0.8,5.0,-5.1,51.5,4.4,0.0,10.1
10,20180102,3.0,5.2,8.6,2.4,68.1,7.7,0.0,6.199999999999999
11,20180102,1.7,-2.7,3.7,-8.4,49.3,7.8,0.0,12.1
12,20180102,1.0,0.8,6.3,-3.9,70.4,2.6,0.0,10.2
13,20180102,1.9,2.4,8.8,-5.5,63.4,7.0,0.0,14.3
14,20180102,2.7,2.0,6.8,-2.7,38.3,7.1,0.0,9.5
15,20180103,0.9,-6.3,0.9,-12.4,55.9,8.9,0.0,13.3
16,20180103,0.6,-3.9,0.2,-7.9,46.6,8.6,0.0,8.1
17,20180103,2.7,1.1,5.8,-1.9,34.8,8.7,0.0,7.699999999999999
18,20180103,3.0,1.9,4.8,0.2,61.3,7.3,0.0,4.6
19,20180103,1.9,-4.0,1.4,-7.7,39.9,8.8,0.0,9.1
20,20180103,1.3,-3.0,1.7,-7.2,58.5,8.0,0.0,8.9
21,20180103,3.2,0.9,4.3,-1.6,54.9,8.9,0.0,5.9
22,20180103,1.4,-3.7,4.6,-10.3,45.5,8.1,0.0,14.9
23,20180104,0.4,-8.1,-1.8,-14.8,65.6,7.1,0.0,13.0
24,20180104,4.3,0.4,2.1,-0.6,72.3,6.0,5.0,2.7
25,20180104,1.2,-2.0,0.2,-4.4,62.6,2.6,0.0,4.6000000000000005
26,20180104,3.2,-1.8,-0.1,-3.1,70.8,1.3,0.0,3.0
27,20180104,0.9,-6.4,0.7,-13.9,56.5,7.0,0.0,14.6
28,20180104,1.0,-2.6,-0.7,-4.3,65.5,1.8,0.0,3.6
29,20180104,2.7,-0.6,2.7,-1.8,57.1,2.1,0.0,4.5
30,20180104,1.1,-0.3,3.7,-4.2,48.9,6.5,0.0,7.9
31,20180105,1.3,-4.7,2.9,-8.5,54.1,7.9,0.0,11.4
32,20180105,1.5,-3.1,2.5,-6.4,66.8,7.1,0.0,8.9
33,20180105,2.5,2.1,6.5,-0.4,36.5,6.8,0.0,6.9
34,20180105,3.6,0.2,3.1,-1.9,56.1,7.1,0.0,5.0
35,20180105,0.7,-5.3,1.5,-9.8,69.0,7.3,0.0,11.3
36,20180105,1.1,-0.4,3.9,-2.5,50.8,7.7,0.0,6.4
37,20180105,2.9,2.0,5.2,-0.1,55.8,7.0,0.0,5.3
38,20180105,2.3,1.7,7.0,-1.5,36.6,5.4,0.0,8.5
39,20180106,0.7,-7.4,1.5,-14.1,70.3,8.7,0.0,15.6
40,20180106,0.5,-4.7,3.0,-10.5,67.1,8.6,0.0,13.5
41,20180106,1.2,-0.1,5.0,-4.2,69.1,9.0,0.0,9.2
42,20180106,5.5,0.0,4.7,-2.2,70.4,8.6,0.0,6.9
43,20180106,1.3,-4.5,2.1,-9.2,42.3,6.9,0.0,11.3
44,20180106,1.7,-2.7,5.5,-8.1,63.9,8.5,0.0,13.6
45,20180106,0.9,-1.1,8.1,-7.0,59.8,8.4,0.0,15.1
46,20180106,3.4,0.3,7.1,-5.4,46.6,8.4,0.0,12.5
47,20180107,1.5,-5.6,3.6,-16.0,49.9,6.2,0.0,19.6
48,20180107,0.6,-3.3,1.7,-10.4,64.6,1.3,0.0,12.1
49,20180107,1.4,3.5,9.0,-2.4,53.5,2.9,0.3,11.4
50,20180107,0.7,-2.1,1.7,-8.3,80.3,0.6,0.0,10.0
51,20180107,1.1,-3.8,4.4,-11.8,53.1,4.8,0.0,16.200000000000003
52,20180107,1.0,-0.5,4.2,-5.9,74.6,0.2,0.1,10.1
53,20180107,0.1,-2.6,4.0,-9.2,77.0,0.2,0.5,13.2
54,20180107,0.4,-2.5,4.3,-9.9,68.8,1.5,1.1,14.2
55,20180108,1.7,0.6,3.9,-1.6,62.6,0.2,0.6,5.5
56,20180108,2.3,0.9,4.1,-1.0,76.1,0.7,2.2,5.1
57,20180108,1.8,3.1,6.0,0.5,81.3,0.0,1.0,5.5
58,20180108,4.5,8.7,11.3,6.1,83.6,0.0,4.1,5.200000000000001
59,20180108,1.5,-0.4,1.5,-1.7,73.5,0.0,1.0,3.2
60,20180108,2.9,1.9,3.7,-0.2,78.4,0.1,2.5,3.9
61,20180108,2.1,4.3,6.5,2.3,88.6,0.0,1.5,4.2
62,20180108,0.9,2.0,4.0,-0.1,85.6,0.0,2.0,4.1
63,20180109,7.3,-3.1,-1.2,-5.5,64.5,1.4,1.5,4.3
64,20180109,4.0,-0.5,3.3,-2.5,41.4,8.3,0.0,5.8
65,20180109,2.0,-0.1,2.9,-1.9,88.4,1.4,3.0,4.8
66,20180109,16.9,4.6,6.7,2.1,66.1,1.9,0.2,4.6
67,20180109,2.9,-3.2,-0.8,-6.0,80.8,1.4,2.0,5.2
68,20180109,4.9,1.2,4.4,-1.6,49.6,8.9,0.0,6.0
69,20180109,4.0,2.5,3.7,-0.2,59.5,0.4,0.2,3.9
70,20180109,2.6,0.8,4.5,-3.1,52.9,6.4,0.0,7.6
71,20180110,3.1,-4.6,-1.8,-9.0,32.1,8.9,0.0,7.2
72,20180110,1.8,-5.5,-2.1,-9.1,66.0,6.7,4.2,7.0
73,20180110,4.1,-0.7,2.5,-4.8,51.9,7.5,0.2,7.3
74,20180110,5.6,1.6,4.5,-0.6,65.9,5.0,5.3,5.1
75,20180110,1.9,-6.8,-2.2,-11.4,65.5,3.3,1.7,9.2
76,20180110,1.9,-3.6,-0.9,-6.3,83.9,2.8,5.5,5.4
77,20180110,2.0,-7.8,-3.1,-13.4,52.5,5.5,0.5,10.3
78,20180110,2.8,-3.1,1.2,-5.8,69.5,1.2,0.0,7.0
79,20180111,4.5,-7.7,-3.5,-10.1,29.0,9.1,0.0,6.6
80,20180111,1.5,-9.3,-4.9,-12.6,75.4,6.5,0.0,7.699999999999999
81,20180111,3.5,-4.0,0.5,-6.7,49.4,9.3,0.0,7.2
82,20180111,1.6,-1.2,1.4,-3.0,74.8,3.8,5.8,4.4
83,20180111,2.1,-7.7,-5.1,-9.6,76.6,5.2,0.0,4.5
84,20180111,2.4,-5.5,-1.0,-8.7,46.3,8.3,0.0,7.699999999999999
85,20180111,6.1,-10.4,-7.0,-12.4,49.9,8.5,0.0,5.4
86,20180111,2.8,-3.6,0.5,-5.9,42.5,7.5,0.0,6.4
87,20180112,2.8,-4.6,-0.5,-9.3,24.3,9.0,0.0,8.8
88,20180112,5.1,-9.5,-6.3,-13.2,53.1,9.1,0.0,6.9
89,20180112,2.2,-5.9,-3.2,-9.0,91.4,7.5,1.2,5.8
90,20180112,1.4,-6.4,0.0,-13.2,47.5,8.7,0.0,13.2
91,20180112,0.7,-9.6,-3.2,-16.5,73.1,8.8,0.0,13.3
92,20180112,2.5,-4.4,0.4,-8.9,37.8,8.4,0.0,9.3
93,20180112,3.0,-10.1,-5.4,-15.1,37.3,8.6,0.0,9.7
94,20180112,1.5,-4.4,0.0,-7.1,50.1,8.4,0.0,7.1
95,20180113,0.8,-4.4,-1.2,-6.6,67.3,0.9,0.4,5.4
96,20180113,1.0,-4.4,0.9,-11.4,70.5,7.3,0.0,12.3
97,20180113,4.1,0.3,5.8,-5.1,58.6,8.4,0.0,10.9
98,20180113,1.4,-4.3,-0.4,-7.3,72.9,1.4,0.2,6.9
99,20180113,0.9,-4.2,3.9,-10.0,71.8,7.3,0.0,13.9
100,20180113,1.5,-2.3,4.4,-9.2,72.8,6.6,0.0,13.6
101,20180113,1.1,-7.3,0.5,-15.5,73.1,5.1,0.0,16.0
102,20180114,1.6,2.3,6.8,-5.6,47.1,8.9,0.0,12.4
103,20180114,3.7,1.5,4.9,-3.5,70.1,5.7,0.0,8.4
104,20180114,0.7,-3.5,3.5,-9.8,75.3,6.6,0.0,13.3
105,20180114,3.6,5.2,9.7,1.9,91.0,5.2,0.0,7.799999999999999
106,20180114,1.1,-1.6,4.0,-9.0,69.5,7.5,0.0,13.0
107,20180114,1.3,0.9,6.9,-6.1,73.3,5.4,0.0,13.0
108,20180114,1.1,0.3,7.6,-5.2,81.5,3.8,0.0,12.8
109,20180114,2.1,1.5,8.8,-4.5,53.5,8.3,0.0,13.3
110,20180115,1.6,2.8,8.5,-2.4,70.3,7.4,0.0,10.9
111,20180115,1.0,5.0,9.1,0.5,59.0,4.9,0.0,8.6
112,20180115,2.0,6.4,13.3,0.4,64.5,9.0,0.0,12.9
113,20180115,1.3,6.7,12.9,2.5,81.6,8.6,0.0,10.4
114,20180115,1.3,3.3,9.5,-0.9,64.0,7.0,0.0,10.4
115,20180115,0.6,1.7,10.0,-2.5,83.1,5.6,0.0,12.5
