,TM,WS_AVG,TA_AVG,TA_MAX,TA_MIN,HM_AVG,SS_DAY,RN_DAY,TA_DIF
0,20200101,0.6,-2.2,0.3,-6.5,64.4,0.8,0.1,6.8
1,20200101,2.1,-2.6,3.7,-8.7,60.0,7.8,0.0,12.4
2,20200101,4.4,1.2,6.4,-4.1,51.1,9.0,0.0,10.5
3,20200101,0.8,-3.8,-1.3,-7.2,74.3,0.0,0.1,5.9
4,20200101,0.8,-1.6,4.0,-8.6,65.0,3.5,0.0,12.6
5,20200101,4.5,1.3,6.3,-4.2,60.3,8.7,0.0,10.5
6,20200101,2.7,-2.6,3.2,-9.3,72.3,7.5,0.0,12.5
7,20200102,2.3,2.8,6.6,-2.1,38.6,8.8,0.0,8.7
8,20200102,1.8,1.8,3.6,0.5,69.8,0.0,0.0,3.1
9,20200102,2.1,2.2,4.6,-1.2,67.6,0.5,0.0,5.8
10,20200102,3.7,6.7,8.5,5.6,69.8,1.0,0.0,2.9000000000000004
11,20200102,0.5,0.0,2.4,-2.5,83.6,0.0,0.0,4.9
12,20200102,0.5,1.5,7.5,-3.8,80.3,7.1,0.0,11.3
13,20200102,1.7,2.4,8.7,-4.1,70.5,7.0,0.0,12.8
14,20200102,3.7,3.0,7.5,0.1,53.6,8.4,0.0,7.4
15,20200103,0.6,-3.1,5.5,-8.6,71.0,8.3,0.0,14.1
16,20200103,0.6,0.0,5.1,-3.8,63.6,8.5,0.0,8.899999999999999
17,20200103,2.4,5.1,9.6,2.5,50.1,8.0,0.0,7.1
18,20200103,2.1,6.1,9.9,2.3,68.6,8.1,0.0,7.6
19,20200103,1.4,-1.4,5.6,-5.6,67.9,7.1,0.0,11.2
20,20200103,0.9,0.0,6.3,-4.0,83.9,5.3,0.0,10.3
21,20200103,1.6,3.2,9.2,-1.2,75.1,8.4,0.0,10.4
22,20200103,1.1,-0.4,8.0,-6.2,69.4,8.3,0.0,14.2
23,20200104,0.6,-3.8,5.2,-9.7,79.3,8.1,0.0,14.9
24,20200104,4.0,5.0,8.1,2.7,55.6,5.5,1.5,5.4
25,20200104,0.4,1.5,8.1,-2.9,85.0,6.1,0.0,11.0
26,20200104,1.5,1.5,8.4,-4.0,85.5,6.8,0.0,12.4
27,20200104,0.8,-2.4,6.6,-8.8,67.0,7.7,0.0,15.4
28,20200104,0.7,1.6,7.8,-2.7,80.8,4.9,0.0,10.5
29,20200104,1.2,1.9,8.9,-3.9,82.4,8.0,0.0,12.8
30,20200104,1.0,2.1,8.4,-2.9,68.4,6.4,0.0,11.3
31,20200105,0.8,-1.3,6.0,-7.4,63.6,7.3,0.0,13.4
32,20200105,0.9,0.1,6.3,-5.9,72.4,6.6,0.0,12.2
33,20200105,1.0,2.2,10.2,-4.3,53.6,8.9,0.0,14.5
34,20200105,0.6,2.0,11.4,-5.7,64.8,8.3,0.0,17.1
35,20200105,0.3,-2.9,6.7,-9.9,65.5,6.9,0.0,16.6
36,20200105,1.4,-99.0,9.1,-6.2,-9.0,2.0,0.0,15.3
37,20200105,0.5,2.2,10.8,-5.2,71.0,7.6,0.0,16.0
38,20200105,0.8,0.2,10.4,-6.9,61.9,7.7,0.0,17.3
39,20200106,1.9,0.4,2.5,-4.0,79.6,0.0,1.1,6.5
40,20200106,0.3,0.3,4.4,-3.9,79.4,0.0,1.8,8.3
41,20200106,1.5,5.9,9.1,1.3,85.4,0.0,12.2,7.8
42,20200106,0.8,2.5,4.5,-1.4,89.6,0.0,12.6,5.9
43,20200106,0.6,-1.0,3.5,-5.6,88.9,0.3,1.0,9.1
44,20200106,0.6,2.4,5.5,-4.2,96.6,0.0,20.7,9.7
45,20200106,0.3,1.4,2.8,-3.2,87.1,0.0,10.5,6.0
46,20200106,0.8,2.4,4.3,-2.8,86.9,0.0,11.0,7.1
47,20200107,1.6,2.8,4.5,0.8,98.8,0.0,44.6,3.7
48,20200107,1.9,8.0,13.8,5.0,96.1,0.0,48.0,8.8
49,20200107,1.9,12.4,18.4,8.0,94.0,0.0,27.4,10.4
50,20200107,7.0,19.2,23.6,12.8,69.8,2.6,12.4,10.8
51,20200107,1.3,5.8,8.0,2.4,98.5,0.0,56.6,5.6
52,20200107,3.0,13.2,17.3,8.7,89.5,0.0,27.0,8.600000000000001
53,20200107,0.8,8.4,14.9,5.0,92.0,0.0,37.0,9.9
54,20200107,0.7,6.0,14.9,1.7,95.9,0.0,34.8,13.2
55,20200108,2.0,5.0,7.8,2.0,83.9,0.8,19.0,5.8
56,20200108,4.7,3.5,7.3,2.4,83.6,0.0,1.3,4.9
57,20200108,2.3,7.4,14.2,3.7,61.1,3.8,0.0,10.5
58,20200108,18.1,7.8,12.6,6.2,75.6,1.0,0.7,6.4
