,TM,WS_AVG,TA_AVG,TA_MAX,TA_MIN,HM_AVG,SS_DAY,RN_DAY,TA_DIF
0,20210101,2.0,-4.2,1.6,-9.8,64.0,6.5,0.0,11.4
1,20210101,2.2,-4.0,0.5,-9.2,61.5,8.7,0.0,9.7
2,20210101,3.7,0.8,4.8,-2.8,61.0,8.1,0.0,7.6
3,20210101,0.7,-6.3,-0.4,-12.6,76.1,6.3,0.0,12.2
4,20210101,0.6,-5.5,-2.2,-10.8,86.8,1.1,1.1,8.600000000000001
5,20210101,2.7,-0.3,5.0,-4.7,76.4,4.6,0.0,9.7
6,20210101,2.5,-4.9,-0.6,-12.4,65.0,7.6,0.0,11.8
7,20210102,2.3,-2.5,1.5,-6.3,16.8,9.0,0.0,7.8
8,20210102,4.2,-4.7,-1.9,-7.4,38.0,8.9,0.0,5.5
9,20210102,2.1,-3.1,0.5,-5.5,56.5,7.5,0.0,6.0
10,20210102,6.5,3.2,5.4,0.8,71.5,0.5,0.2,4.6000000000000005
11,20210102,1.3,-4.2,0.1,-8.0,42.8,8.5,0.0,8.1
12,20210102,1.2,-1.8,1.4,-6.2,73.9,7.9,0.3,7.6
13,20210102,2.3,0.4,4.9,-3.0,66.4,7.3,0.1,7.9
14,20210102,2.3,-2.1,2.9,-7.4,46.8,8.5,0.0,10.3
15,20210103,1.1,-8.1,-0.9,-14.5,51.1,7.4,0.0,13.6
16,20210103,0.7,-5.6,-1.0,-10.5,50.5,5.6,0.0,9.5
17,20210103,3.0,-0.7,2.9,-4.1,33.0,6.7,0.0,7.0
18,20210103,1.2,1.4,4.6,-1.9,59.3,5.8,0.0,6.5
19,20210103,2.3,-5.9,-1.1,-10.7,39.8,6.3,0.0,9.6
20,20210103,0.9,-4.1,1.0,-9.5,67.6,4.9,0.0,10.5
21,20210103,1.7,-0.1,3.4,-5.2,60.0,5.5,0.0,8.6
22,20210103,1.1,-5.7,1.9,-12.5,61.5,6.7,0.0,14.4
23,20210104,0.6,-7.4,-0.7,-16.0,60.4,6.6,0.1,15.3
24,20210104,2.7,1.1,4.4,-0.5,54.9,7.3,0.0,4.9
25,20210104,1.1,-1.0,3.4,-5.8,64.8,5.4,0.0,9.2
26,20210104,1.2,-2.0,5.1,-7.5,80.6,4.6,0.0,12.6
27,20210104,0.6,-5.9,0.3,-13.7,62.6,5.6,0.0,14.0
28,20210104,0.7,-2.5,1.6,-8.0,78.9,3.6,0.0,9.6
29,20210104,0.7,-0.2,8.4,-7.2,78.6,8.7,0.0,15.6
30,20210104,0.4,-2.0,4.1,-7.1,57.5,6.2,0.0,11.2
31,20210105,1.8,-6.7,-2.3,-11.5,55.5,8.7,0.0,9.2
32,20210105,2.8,-4.9,-0.8,-9.3,56.9,9.0,0.0,8.5
33,20210105,3.2,-1.1,2.6,-5.1,47.9,5.2,0.0,7.699999999999999
34,20210105,2.9,-1.2,2.8,-5.5,67.1,3.0,0.0,8.3
35,20210105,1.3,-5.3,-1.1,-12.5,46.9,6.9,0.0,11.4
36,20210105,1.4,-1.7,1.7,-6.8,65.1,2.7,0.0,8.5
37,20210105,1.9,0.6,4.0,-3.6,59.6,2.0,0.0,7.6
38,20210105,2.8,-1.7,3.2,-5.9,50.4,5.2,0.0,9.1
39,20210106,1.6,-10.1,-3.4,-18.2,61.6,8.5,0.8,14.8
40,20210106,0.8,-8.1,-2.1,-15.3,52.3,8.6,0.4,13.2
41,20210106,1.4,-3.7,-0.3,-8.5,60.9,8.6,3.2,8.2
42,20210106,1.7,-6.0,-1.7,-11.5,73.1,8.7,2.0,9.8
43,20210106,1.9,-9.9,-4.1,-16.5,50.3,6.2,0.7,12.4
44,20210106,1.6,-7.2,-2.0,-14.2,75.5,8.0,2.0,12.2
45,20210106,1.4,-3.3,3.6,-10.6,54.6,8.5,0.0,14.2
46,20210106,3.0,-4.6,1.2,-9.1,46.5,8.4,0.0,10.3
47,20210107,6.6,-18.8,-11.5,-21.7,46.0,9.0,1.1,10.2
48,20210107,3.4,-13.6,-4.6,-18.5,40.4,8.1,0.7,13.9
49,20210107,4.1,-7.2,-0.9,-10.9,31.5,8.6,0.2,10.0
